title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
Correction to High Rayleigh number thermo-chemical models of a dense boundary layer in D ″”,"NL Montague, LH Kellogg, M Manga",Geophysical Research Letters,"25 (20), 3917-3917",1,1998,8.43895E+18,QIV2ME_5wuYC,"NL Montague, LH Kellogg, M Manga",1998
Creases Surfaces for Seismic Wave Data Analysis and Visualization,"G Aldrich, LH Kellogg, B Hamann",AGU Fall Meeting Abstracts,,0,2011,NA,sSrBHYA8nusC,"G Aldrich, LH Kellogg, B Hamann",2011
Critical jump distance for propagating earthquake ruptures across step-overs,"MB Yikilmaz, DL Turcotte, EM Heien, LH Kellogg, JB Rundle",Pure and Applied Geophysics,"172 (8), 2195-2201",4,2015,4.8094E+17,eq2jaN3J8jMC,"MB Yıkılmaz, DL Turcotte, EM Heien, LH Kellogg, JB Rundle",2015
CRUSTA: A NEW VIRTUAL GLOBE ENABLING REMOTE GEOLOGIC MAPPING,"TS Bernardin, LH Kellogg",,2010 GSA Denver Annual Meeting,0,2010,NA,nb7KW1ujOQ8C,TS BERNARDIN,2010
Crusta: A new virtual globe for real-time visualization of sub-meter digital topography at planetary scales,"T Bernardin, ES Cowgill, O Kreylos, C Bowles, P Gold, B Hamann, LH Kellogg",Computers & Geosciences,"37 (1), 75-85",33,2011,1.45554E+18,mVmsd5A6BfQC,"T Bernardin, E Cowgill, O Kreylos, C Bowles, P Gold, B Hamann, ...",2011
Crusta: Visualizing High-resolution Global Data,"TS Bernardin, O Kreylos, CJ Bowles, ES Cowgill, B Hamann, LH Kellogg",AGU Fall Meeting Abstracts,,0,2009,NA,3s1wT3WcHBgC,"TS Bernardin, O Kreylos, CJ Bowles, E Cowgill, B Hamann, LH Kellogg",2009
Cultural and Technological Issues and Solutions for Geodynamics Software Citation,"EM Heien, LJ Hwang, AE Fish, MK Smith, J Dumit, LH Kellogg",AGU Fall Meeting Abstracts,,0,2014,NA,yB1At4FlUx8C,"EM Heien, L Hwang, AE Fish, M Smith, J Dumit, LH Kellogg",2014
Curvature-based crease surfaces for wave visualization,"G Aldrich, A Gimenez, ME Oskin, R Strelitz, J Woodring, LH Kellogg, B Hamann",,,0,2014,NA,35r97b3x0nAC,"G Aldrich, A Gimenez, M Oskin, R Strelitz, J Woodring, LH Kellogg, ...",2014
Damage formation associated with bending under a constant moment,"DM Manaker, DL Turcotte, LH Kellogg",Tectonophysics,"433 (1-4), 81-95",5,2007,6.43865E+18,ZeXyd9-uunAC,"DM Manaker, DL Turcotte, LH Kellogg",2007
Deformation in the Los Angeles Basin and Transverse Ranges: Comparison of Finite Element Model Velocities With Geodetic Velocities Observed by SCIGN,"MT Glasscoe, LH Kellogg",AGU Fall Meeting Abstracts,,0,2002,NA,a0OBvERweLwC,"MT Glasscoe, LH Kellogg",2002
Deformation of tracers in isoviscous 3D flows with applications to mantle mixing,"NS Conjeepuram, LH Kellogg",AGU Fall Meeting Abstracts,,0,2006,NA,35N4QoGY0k4C,"N Conjeepuram, LH Kellogg",2006
Degree-2 in the Transition Zone and Near the CMB: Bottom up Tectonics?,"R Arevalo, A Ghosh, V Lekic, VC Tsai, AM Dziewonski, LH Kellogg, J Matas, WR Panero, B Romanowicz",AGU Fall Meeting Abstracts,,0,2008,NA,mB3voiENLucC,"R Arevalo, A Ghosh, V Lekic, VC Tsai, AM Dziewonski, LH Kellogg, ...",2008
Discontinuous Galerkin (DG) Method for solving time dependent convection-diffusion type temperature equation: Demonstration and Comparison with Other Methods in the Mantle …,"Y He, EG Puckett, MI Billen, LH Kellogg",AGU Fall Meeting Abstracts,,0,2016,NA,PoWvk5oyLR8C,"Y He, EG Puckett, MI Billen, LH Kellogg",2016
Donald L. Turcotte: Geodynamics and the drivers of plate tectonics,LH Kellogg,AGU Fall Meeting Abstracts,,0,2018,NA,IRz6iEL74y4C,LH Kellogg,2018
Dynamic effects of a step-wise increase in thermal conductivity and viscosity in the lowermost mantle,"JB Naliboff, LH Kellogg",Geophysical research letters,33 (12),27,2006,9.91128E+18,UebtZRa9Y70C,"JB Naliboff, LH Kellogg",2006
Dynamical effects of increases in viscosity and thermal conductivity in the lowermost 1000 km of the mantle.,"JB Naliboff, LH Kellogg",AGU Fall Meeting Abstracts,,0,2005,NA,ZHo1McVdvXMC,"JB Naliboff, LH Kellogg",2005
Dynamics of the Earth's Deep Interior: Understanding convection in the mantle from numerical models and observations,LH Kellogg,APS March Meeting Abstracts,,0,2003,NA,dfsIfKJdRG4C,L Kellogg,2003
